Source,CH1
Second,Volt
-0.00393280014,1.08000,
-0.00393240014,1.10000,
-0.00393200014,1.10000,
-0.00393160013,1.12000,
-0.00393120013,1.12000,
-0.00393080013,1.12000,
-0.00393040013,1.12000,
-0.00393000012,1.14000,
-0.00392960012,1.18000,
-0.00392920012,1.12000,
-0.00392880011,1.16000,
-0.00392840011,1.16000,
-0.00392800011,1.16000,
-0.00392760010,1.18000,
-0.00392720010,1.16000,
-0.00392680010,1.18000,
-0.00392640010,1.18000,
-0.00392600009,1.20000,
-0.00392560009,1.20000,
-0.00392520009,1.20000,
-0.00392480008,1.20000,
-0.00392440008,1.20000,
-0.00392400008,1.22000,
-0.00392360007,1.22000,
-0.00392320007,1.22000,
-0.00392280007,1.24000,
-0.00392240006,1.24000,
-0.00392200006,1.22000,
-0.00392160006,1.24000,
-0.00392120006,1.24000,
-0.00392080005,1.24000,
-0.00392040005,1.28000,
-0.00392000005,1.26000,
-0.00391960004,1.26000,
-0.00391920004,1.26000,
-0.00391880004,1.28000,
-0.00391840003,1.28000,
-0.00391800003,1.28000,
-0.00391760003,1.30000,
-0.00391720003,1.30000,
-0.00391680002,1.30000,
-0.00391640002,1.28000,
-0.00391600002,1.32000,
-0.00391560001,1.32000,
-0.00391520001,1.32000,
-0.00391480001,1.32000,
-0.00391440000,1.32000,
-0.00391400000,1.32000,
-0.00391360000,1.36000,
-0.00391319999,1.36000,
-0.00391279999,1.36000,
-0.00391239999,1.32000,
-0.00391199999,1.36000,
-0.00391159998,1.38000,
-0.00391119998,1.34000,
-0.00391079998,1.36000,
-0.00391039997,1.36000,
-0.00390999997,1.36000,
-0.00390959997,1.38000,
-0.00390919996,1.38000,
-0.00390879996,1.36000,
-0.00390839996,1.38000,
-0.00390799996,1.38000,
-0.00390759995,1.38000,
-0.00390719995,1.40000,
-0.00390679995,1.42000,
-0.00390639994,1.38000,
-0.00390599994,1.40000,
-0.00390559994,1.40000,
-0.00390519993,1.38000,
-0.00390479993,1.40000,
-0.00390440016,1.44000,
-0.00390400016,1.44000,
-0.00390360015,1.40000,
-0.00390320015,1.42000,
-0.00390280015,1.44000,
-0.00390240015,1.44000,
-0.00390200014,1.42000,
-0.00390160014,1.42000,
-0.00390120014,1.42000,
-0.00390080013,1.44000,
-0.00390040013,1.44000,
-0.00390000013,1.44000,
-0.00389960012,1.44000,
-0.00389920012,1.44000,
-0.00389880012,1.46000,
-0.00389840011,1.48000,
-0.00389800011,1.46000,
